PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34696042","Digital Twins Supporting Efficient Digital Industrial Transformation","Bamunuarachchi D, Georgakopoulos D, Banerjee A, Jayaraman PP.","Sensors (Basel). 2021 Oct 14;21(20):6829. doi: 10.3390/s21206829.","Bamunuarachchi D","Sensors (Basel)","2021","2021/10/26","PMC8540280","","10.3390/s21206829"
"38116386","Sports venue digital twin technology from a spectator virtual visiting perspective","Glebova E, Book R, Su Y, Perić M, Heller J.","Front Sports Act Living. 2023 Dec 5;5:1289140. doi: 10.3389/fspor.2023.1289140. eCollection 2023.","Glebova E","Front Sports Act Living","2023","2023/12/20","PMC10728725","","10.3389/fspor.2023.1289140"
"38709011","Digital Twins in Agriculture: Orchestration and Applications","Escribà-Gelonch M, Liang S, van Schalkwyk P, Fisk I, Long NVD, Hessel V.","J Agric Food Chem. 2024 May 15;72(19):10737-10752. doi: 10.1021/acs.jafc.4c01934. Epub 2024 May 6.","Escribà-Gelonch M","J Agric Food Chem","2024","2024/05/06","PMC11100011","","10.1021/acs.jafc.4c01934"
"39103218","Virtualization and digital twins of the food supply chain for enhanced food safety","Corradini MG, Homez-Jara AK, Chen C.","Adv Food Nutr Res. 2024;111:71-91. doi: 10.1016/bs.afnr.2024.06.001. Epub 2024 Jun 18.","Corradini MG","Adv Food Nutr Res","2024","2024/08/05","","","10.1016/bs.afnr.2024.06.001"
"39338814","Digital Twin Approach for Operation and Maintenance of Transportation System-Systematic Review","Werbińska-Wojciechowska S, Giel R, Winiarska K.","Sensors (Basel). 2024 Sep 19;24(18):6069. doi: 10.3390/s24186069.","Werbińska-Wojciechowska S","Sensors (Basel)","2024","2024/09/28","PMC11435829","","10.3390/s24186069"
"33604707","Digital Twins: A General Overview of the Biopharma Industry","Canzoneri M, De Luca A, Harttung J.","Adv Biochem Eng Biotechnol. 2021;177:167-184. doi: 10.1007/10_2020_157.","Canzoneri M","Adv Biochem Eng Biotechnol","2021","2021/02/19","","","10.1007/10_2020_157"
"37305021","The impact of digital twins on the evolution of intelligent manufacturing and Industry 4.0","Attaran M, Attaran S, Celik BG.","Adv Comput Intell. 2023;3(3):11. doi: 10.1007/s43674-023-00058-y. Epub 2023 Jun 7.","Attaran M","Adv Comput Intell","2023","2023/06/12","PMC10246533","","10.1007/s43674-023-00058-y"
"35972776","Digital Twins for Managing Health Care Systems: Rapid Literature Review","Elkefi S, Asan O.","J Med Internet Res. 2022 Aug 16;24(8):e37641. doi: 10.2196/37641.","Elkefi S","J Med Internet Res","2022","2022/08/16","PMC9428772","","10.2196/37641"
"36687282","The Digital Supply Chain Twin paradigm for enhancing resilience and sustainability against COVID-like crises","Longo F, Mirabelli G, Padovano A, Solina V.","Procedia Comput Sci. 2023;217:1940-1947. doi: 10.1016/j.procs.2022.12.394. Epub 2023 Jan 13.","Longo F","Procedia Comput Sci","2023","2023/01/23","PMC9836493","","10.1016/j.procs.2022.12.394"
"36772664","Data-Driven Supply Chain Operations-The Pilot Case of Postal Logistics and the Cross-Border Optimization Potential","Zdolsek Draksler T, Cimperman M, Obrecht M.","Sensors (Basel). 2023 Feb 2;23(3):1624. doi: 10.3390/s23031624.","Zdolsek Draksler T","Sensors (Basel)","2023","2023/02/11","PMC9920370","","10.3390/s23031624"
"35370340","Digital twin framework for reconfigurable manufacturing systems (RMSs): design and simulation","Kombaya Touckia J, Hamani N, Kermad L.","Int J Adv Manuf Technol. 2022;120(7-8):5431-5450. doi: 10.1007/s00170-022-09118-y. Epub 2022 Mar 30.","Kombaya Touckia J","Int J Adv Manuf Technol","2022","2022/04/04","PMC8964391","","10.1007/s00170-022-09118-y"
"35009655","Can a Byte Improve Our Bite? An Analysis of Digital Twins in the Food Industry","Henrichs E, Noack T, Pinzon Piedrahita AM, Salem MA, Stolz J, Krupitzer C.","Sensors (Basel). 2021 Dec 24;22(1):115. doi: 10.3390/s22010115.","Henrichs E","Sensors (Basel)","2021","2022/01/11","PMC8747666","","10.3390/s22010115"
"38187956","Impact of Blockchain-Digital Twin Technology on Precision Health, Pharmaceutical Industry, and Life Sciences: Conference Proceedings, Conv2X 2023","Vasiliu-Feltes I, Mylrea M, Zhang CY, Wood TC, Thornley B.","Blockchain Healthc Today. 2023 Nov 7;6. doi: 10.30953/bhty.v6.281. eCollection 2023.","Vasiliu-Feltes I","Blockchain Healthc Today","2023","2024/01/08","PMC10770801","","10.30953/bhty.v6.281"
"35677065","Blackout and supply chains: Cross-structural ripple effect, performance, resilience and viability impact analysis","Ivanov D.","Ann Oper Res. 2022 Jun 3:1-17. doi: 10.1007/s10479-022-04754-9. Online ahead of print.","Ivanov D","Ann Oper Res","2022","2022/06/09","PMC9164572","","10.1007/s10479-022-04754-9"
"32630771","Reliable Identification Schemes for Asset and Production Tracking in Industry 4.0","Frankó A, Vida G, Varga P.","Sensors (Basel). 2020 Jul 2;20(13):3709. doi: 10.3390/s20133709.","Frankó A","Sensors (Basel)","2020","2020/07/08","PMC7374395","","10.3390/s20133709"
"36850448","Research on Real-Time Robust Optimization of Perishable Supply-Chain Systems Based on Digital Twins","Wu Y, Zhang J, Li Q, Tan H.","Sensors (Basel). 2023 Feb 7;23(4):1850. doi: 10.3390/s23041850.","Wu Y","Sensors (Basel)","2023","2023/02/28","PMC9962242","","10.3390/s23041850"
"34934397","Food retail supply chain resilience and the COVID-19 pandemic: A digital twin-based impact analysis and improvement directions","Burgos D, Ivanov D.","Transp Res E Logist Transp Rev. 2021 Aug;152:102412. doi: 10.1016/j.tre.2021.102412. Epub 2021 Jun 30.","Burgos D","Transp Res E Logist Transp Rev","2021","2021/12/22","PMC8677600","","10.1016/j.tre.2021.102412"
"39610261","Innovative food supply chain through spatial computing technologies: A review","Ma P, Jia X, Gao M, Yi Z, Tsai S, He Y, Zhen D, Blaustein RA, Wang Q, Wei CI, Fan B, Wang F.","Compr Rev Food Sci Food Saf. 2024 Nov;23(6):e70055. doi: 10.1111/1541-4337.70055.","Ma P","Compr Rev Food Sci Food Saf","2024","2024/11/29","PMC11605272","","10.1111/1541-4337.70055"
"36216835","Transforming agrifood production systems and supply chains with digital twins","Tzachor A, Richards CE, Jeen S.","NPJ Sci Food. 2022 Oct 10;6(1):47. doi: 10.1038/s41538-022-00162-2.","Tzachor A","NPJ Sci Food","2022","2022/10/10","PMC9551050","","10.1038/s41538-022-00162-2"
"36366073","Toward Better Food Security Using Concepts from Industry 5.0","Guruswamy S, Pojić M, Subramanian J, Mastilović J, Sarang S, Subbanagounder A, Stojanović G, Jeoti V.","Sensors (Basel). 2022 Nov 1;22(21):8377. doi: 10.3390/s22218377.","Guruswamy S","Sensors (Basel)","2022","2022/11/11","PMC9653780","","10.3390/s22218377"
"37118034","Digital twins enable the quantification of the trade-offs in maintaining citrus quality and marketability in the refrigerated supply chain","Shrivastava C, Berry T, Cronje P, Schudel S, Defraeye T.","Nat Food. 2022 Jun;3(6):413-427. doi: 10.1038/s43016-022-00497-9. Epub 2022 Jun 2.","Shrivastava C","Nat Food","2022","2023/04/28","","","10.1038/s43016-022-00497-9"
"39085252","Digital twin and fuzzy framework for supply chain sustainability risk assessment and management in supplier selection","Hezam IM, Ali AM, Sallam K, Hameed IA, Abdel-Basset M.","Sci Rep. 2024 Jul 31;14(1):17718. doi: 10.1038/s41598-024-67226-z.","Hezam IM","Sci Rep","2024","2024/07/31","PMC11291748","","10.1038/s41598-024-67226-z"
"37631855","Just Keep Rolling?-An Encompassing Review towards Accelerated Vaccine Product Life Cycles","Stiefel J, Zimmer J, Schloßhauer JL, Vosen A, Kilz S, Balakin S.","Vaccines (Basel). 2023 Jul 27;11(8):1287. doi: 10.3390/vaccines11081287.","Stiefel J","Vaccines (Basel)","2023","2023/08/26","PMC10459022","","10.3390/vaccines11081287"
"36101900","Future of industry 5.0 in society: human-centric solutions, challenges and prospective research areas","Adel A.","J Cloud Comput (Heidelb). 2022;11(1):40. doi: 10.1186/s13677-022-00314-5. Epub 2022 Sep 8.","Adel A","J Cloud Comput (Heidelb)","2022","2022/09/14","PMC9454409","","10.1186/s13677-022-00314-5"
"37118038","Digital twins unveil trade-offs in maintaining citrus quality in the refrigerated supply chain","","Nat Food. 2022 Jun;3(6):411-412. doi: 10.1038/s43016-022-00498-8.","","Nat Food","2022","2023/04/28","","","10.1038/s43016-022-00498-8"
"39050440","Redefining fan manufacturing: Unveiling industry 5.0's human-centric evolution and digital twin revolution","Yang T, Razzaq L, Fayaz H, Qazi A.","Heliyon. 2024 Jun 26;10(13):e33551. doi: 10.1016/j.heliyon.2024.e33551. eCollection 2024 Jul 15.","Yang T","Heliyon","2024","2024/07/25","PMC11268175","","10.1016/j.heliyon.2024.e33551"
"38931546","Digital Twin Smart City: Integrating IFC and CityGML with Semantic Graph for Advanced 3D City Model Visualization","Lam PD, Gu BH, Lam HK, Ok SY, Lee SH.","Sensors (Basel). 2024 Jun 9;24(12):3761. doi: 10.3390/s24123761.","Lam PD","Sensors (Basel)","2024","2024/06/27","PMC11207653","","10.3390/s24123761"
"38485014","Digital technologies to unlock safe and sustainable opportunities for medical device and healthcare sectors with a focus on the combined use of digital twin and extended reality applications: A review","Rowan NJ.","Sci Total Environ. 2024 May 20;926:171672. doi: 10.1016/j.scitotenv.2024.171672. Epub 2024 Mar 12.","Rowan NJ","Sci Total Environ","2024","2024/03/14","","","10.1016/j.scitotenv.2024.171672"
"35062415","Self-Protected Virtual Sensor Network for Microcontroller Fault Detection","Sternharz G, Skackauskas J, Elhalwagy A, Grichnik AJ, Kalganova T, Huda MN.","Sensors (Basel). 2022 Jan 7;22(2):454. doi: 10.3390/s22020454.","Sternharz G","Sensors (Basel)","2022","2022/01/22","PMC8777639","","10.3390/s22020454"
"35987874","Improving management of vaccine supply chains: A multi-methods evaluation of vSTEP in Zambia","Linnander E, Ineza L, Mupeta Bobo P, Bechtold K.","Vaccine. 2022 Sep 9;40(38):5579-5584. doi: 10.1016/j.vaccine.2022.07.027. Epub 2022 Aug 18.","Linnander E","Vaccine","2022","2022/08/20","","","10.1016/j.vaccine.2022.07.027"
"29914207","A Fog Computing Based Cyber-Physical System for the Automation of Pipe-Related Tasks in the Industry 4.0 Shipyard","Fernández-Caramés TM, Fraga-Lamas P, Suárez-Albela M, Díaz-Bouza MA.","Sensors (Basel). 2018 Jun 17;18(6):1961. doi: 10.3390/s18061961.","Fernández-Caramés TM","Sensors (Basel)","2018","2018/06/20","PMC6021812","","10.3390/s18061961"
"36284089","Unclonable human-invisible machine vision markers leveraging the omnidirectional chiral Bragg diffraction of cholesteric spherical reflectors","Agha H, Geng Y, Ma X, Avşar DI, Kizhakidathazhath R, Zhang YS, Tourani A, Bavle H, Sanchez-Lopez JL, Voos H, Schwartz M, Lagerwall JPF.","Light Sci Appl. 2022 Oct 25;11(1):309. doi: 10.1038/s41377-022-01002-4.","Agha H","Light Sci Appl","2022","2022/10/25","PMC9592545","","10.1038/s41377-022-01002-4"
"38603290","The role of industry 4.0 technologies in overcoming pandemic challenges for the manufacturing sector","Dadash Pour P, Nazzal MA, Darras BM.","Concurr Eng Res Appl. 2022 Jun;30(2):190-205. doi: 10.1177/1063293X221082681.","Dadash Pour P","Concurr Eng Res Appl","2022","2024/04/11","PMC9096009","","10.1177/1063293X221082681"
"37387093","Quality and Traceability of Starting Materials from Supplier to Recipient","Latorre F, Hawks CE, Bahillo E, Gil M, Colmenares B, Verma D, Sala N.","Stud Health Technol Inform. 2023 Jun 29;305:564-567. doi: 10.3233/SHTI230559.","Latorre F","Stud Health Technol Inform","2023","2023/06/30","","","10.3233/SHTI230559"
"35313661","Improving supply chain resilience through industry 4.0: A systematic literature review under the impressions of the COVID-19 pandemic","Spieske A, Birkel H.","Comput Ind Eng. 2021 Aug;158:107452. doi: 10.1016/j.cie.2021.107452. Epub 2021 Jun 8.","Spieske A","Comput Ind Eng","2021","2022/03/22","PMC8926405","","10.1016/j.cie.2021.107452"
"34528198","Adopting distributed ledger technology for the sustainable construction industry: evaluating the barriers using Ordinal Priority Approach","Sadeghi M, Mahmoudi A, Deng X.","Environ Sci Pollut Res Int. 2022 Feb;29(7):10495-10520. doi: 10.1007/s11356-021-16376-y. Epub 2021 Sep 15.","Sadeghi M","Environ Sci Pollut Res Int","2022","2021/09/16","PMC8443118","","10.1007/s11356-021-16376-y"
"39414050","Transforming plant-based waste and by-products into valuable products using various ""Food Industry 4.0"" enabling technologies: A literature review","Aït-Kaddour A, Hassoun A, Tarchi I, Loudiyi M, Boukria O, Cahyana Y, Ozogul F, Khwaldia K.","Sci Total Environ. 2024 Dec 10;955:176872. doi: 10.1016/j.scitotenv.2024.176872. Epub 2024 Oct 14.","Aït-Kaddour A","Sci Total Environ","2024","2024/10/16","","","10.1016/j.scitotenv.2024.176872"
"36365923","agroString: Visibility and Provenance through a Private Blockchain Platform for Agricultural Dispense towards Consumers","Vangipuram SLT, Mohanty SP, Kougianos E, Ray C.","Sensors (Basel). 2022 Oct 27;22(21):8227. doi: 10.3390/s22218227.","Vangipuram SLT","Sensors (Basel)","2022","2022/11/11","PMC9656739","","10.3390/s22218227"
"36793852","Perspective: Phosphorus monitoring must be rooted in sustainability frameworks spanning material scale to human scale","McLamore E, Duckworth O, Boyer TH, Marshall AM, Call DF, Bhadha JH, Guzmán S.","Water Res X. 2023 Jan 27;19:100168. doi: 10.1016/j.wroa.2023.100168. eCollection 2023 May 1.","McLamore E","Water Res X","2023","2023/02/16","PMC9923219","","10.1016/j.wroa.2023.100168"
"33233426","A Design of the Resilient Enterprise: A Reference Architecture for Emergent Behaviors Control","Bemthuis R, Iacob ME, Havinga P.","Sensors (Basel). 2020 Nov 21;20(22):6672. doi: 10.3390/s20226672.","Bemthuis R","Sensors (Basel)","2020","2020/11/25","PMC7700700","","10.3390/s20226672"
"38961973","Optimization of cooling rate of Q-P treated 42SiCr steel using AI digital twinning","Khalaj O, Hassas P, Mašek B, Štadler C, Svoboda J.","Heliyon. 2024 May 31;10(11):e32101. doi: 10.1016/j.heliyon.2024.e32101. eCollection 2024 Jun 15.","Khalaj O","Heliyon","2024","2024/07/04","PMC11219328","","10.1016/j.heliyon.2024.e32101"
"37361066","Learnings from Industry 4.0 for transitioning towards Industry 4.0+: challenges and solutions for Indian pharmaceutical sector","Sharma M, Sehrawat R, Giannakis M, Dwivedi YK.","Ann Oper Res. 2023 May 26:1-28. doi: 10.1007/s10479-023-05391-6. Online ahead of print.","Sharma M","Ann Oper Res","2023","2023/06/26","PMC10214346","","10.1007/s10479-023-05391-6"
"34202173","Efficient Data Communication Using Distributed Ledger Technology and IOTA-Enabled Internet of Things for a Future Machine-to-Machine Economy","Akhtar MM, Rizvi DR, Ahad MA, Kanhere SS, Amjad M, Coviello G.","Sensors (Basel). 2021 Jun 25;21(13):4354. doi: 10.3390/s21134354.","Akhtar MM","Sensors (Basel)","2021","2021/07/02","PMC8271827","","10.3390/s21134354"
"34786277","Drive Through Robotics: Robotic Automation for Last Mile Distribution of Food and Essentials During Pandemics","Sharma A, Zanotti P, Musunur LP.","IEEE Access. 2020 Jul 6;8:127190-127219. doi: 10.1109/ACCESS.2020.3007064. eCollection 2020.","Sharma A","IEEE Access","2020","2021/11/17","PMC8545352","","10.1109/ACCESS.2020.3007064"
"32288597","Predicting the impacts of epidemic outbreaks on global supply chains: A simulation-based analysis on the coronavirus outbreak (COVID-19/SARS-CoV-2) case","Ivanov D.","Transp Res E Logist Transp Rev. 2020 Apr;136:101922. doi: 10.1016/j.tre.2020.101922. Epub 2020 Mar 24.","Ivanov D","Transp Res E Logist Transp Rev","2020","2020/04/15","PMC7147532","","10.1016/j.tre.2020.101922"
"38620326","Future Smart Connected Communities to Fight COVID-19 Outbreak","Gupta D, Bhatt S, Gupta M, Tosun AS.","Internet Things (Amst). 2021 Mar;13:100342. doi: 10.1016/j.iot.2020.100342. Epub 2020 Dec 7.","Gupta D","Internet Things (Amst)","2021","2024/04/15","PMC7720698","","10.1016/j.iot.2020.100342"
"37112453","FlexiChain 3.0: Distributed Ledger Technology-Based Intelligent Transportation for Vehicular Digital Asset Exchange in Smart Cities","Alkhodair A, Mohanty SP, Kougianos E.","Sensors (Basel). 2023 Apr 19;23(8):4114. doi: 10.3390/s23084114.","Alkhodair A","Sensors (Basel)","2023","2023/04/28","PMC10143036","","10.3390/s23084114"
"38919876","Non-fungible tokens (NFTs) in healthcare: a thematic analysis and research agenda","Sibanda K, Ndayizigamiye P, Twinomurinzi H.","Front Digit Health. 2024 Jun 11;6:1377531. doi: 10.3389/fdgth.2024.1377531. eCollection 2024.","Sibanda K","Front Digit Health","2024","2024/06/26","PMC11196843","","10.3389/fdgth.2024.1377531"
